STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/1/1943,,,0,",,6,",0,",,6,",,,,,22,",,6",24,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/2/1943,,,0,",,6,",0,",,6,",,,55,",,6",24,",,6",30,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/3/1943,,,0.06,",,6,",1,",,6,",1,",,6,",47,",,6",19,",,6",20,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/4/1943,,,0.01,",,6,",0,",,6,",1,",,6,",24,",,6",4,",,6",4,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/5/1943,,,0,",,6,",0,",,6,",,,38,",,6",4,",,6",31,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/6/1943,,,0.46,",,6,",0,",,6,",,,40,",,6",30,",,6",31,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/7/1943,,,0.32,",,6,",0,",,6,",,,45,",,6",24,",,6",24,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/8/1943,,,0,",,6,",0,",,6,",,,33,",,6",15,",,6",15,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/9/1943,,,0,",,6,",0,",,6,",,,39,",,6",15,",,6",15,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/10/1943,,,0,",,6,",0,",,6,",,,48,",,6",15,",,6",23,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/11/1943,,,0.03,",,6,",0,",,6,",,,64,",,6",23,",,6",42,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/12/1943,,,0.35,",,6,",0,",,6,",,,52,",,6",41,",,6",44,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/13/1943,,,1.15,",,6,",0,",,6,",,,71,",,6",42,",,6",46,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/14/1943,,,0.48,",,6,",0,",,6,",,,51,",,6",35,",,6",35,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/15/1943,,,0,",,6,",0,",,6,",,,64,",,6",32,",,6",33,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/16/1943,,,0,",,6,",0,",,6,",,,70,",,6",33,",,6",46,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/17/1943,,,0.1,",,6,",0,",,6,",,,73,",,6",40,",,6",40,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/18/1943,,,0,"T,,6,",0,",,6,",,,52,",,6",29,",,6",29,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/19/1943,,,0.23,",,6,",0,",,6,",,,70,",,6",29,",,6",52,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/20/1943,,,0.29,",,6,",0,",,6,",,,80,",,6",51,",,6",54,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/21/1943,,,0,",,6,",0,",,6,",,,55,",,6",35,",,6",35,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/22/1943,,,0.22,",,6,",1,",,6,",1,",,6,",51,",,6",23,",,6",24,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/23/1943,,,0.02,",,6,",0,"T,,6,",0,"T,,6,",38,",,6",24,",,6",27,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/24/1943,,,0,",,6,",0,",,6,",,,47,",,6",23,",,6",24,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/25/1943,,,0,",,6,",0,",,6,",,,60,",,6",24,",,6",30,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/26/1943,,,0,",,6,",0,",,6,",,,67,",,6",30,",,6",34,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/27/1943,,,0.15,",,6,",0,",,6,",,,57,",,6",33,",,6",47,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/28/1943,,,0,",,6,",0,",,6,",,,68,",,6",34,",,6",34,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/29/1943,,,0,",,6,",0,",,6,",,,50,",,6",25,",,6",25,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/30/1943,,,0,",,6,",0,",,6,",,,59,",,6",25,",,6",29,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,3/31/1943,,,0,",,6,",0,",,6,",,,75,",,6",29,",,6",31,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/1/1943,,,0,",,6,",0,",,6,",,,78,",,6",31,",,6",43,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/2/1943,,,0,"T,,6,",0,",,6,",,,70,",,6",42,",,6",44,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/3/1943,,,0,"T,,6,",0,"T,,6,",,,62,",,6",29,",,6",29,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/4/1943,,,0,",,6,",0,",,6,",,,43,",,6",25,",,6",25,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/5/1943,,,0,"T,,6,",0,",,6,",,,64,",,6",23,",,6",52,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/6/1943,,,0,",,6,",0,",,6,",,,61,",,6",32,",,6",32,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/7/1943,,,0,",,6,",0,",,6,",,,54,",,6",31,",,6",34,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/8/1943,,,0,"T,,6,",0,",,6,",,,67,",,6",34,",,6",46,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/9/1943,,,0,",,6,",0,",,6,",,,77,",,6",45,",,6",47,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/10/1943,,,0.39,",,6,",0,",,6,",,,78,",,6",40,",,6",54,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/11/1943,,,0.15,",,6,",0,",,6,",,,62,",,6",30,",,6",31,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/12/1943,,,0.23,",,6,",0,",,6,",,,66,",,6",30,",,6",44,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/13/1943,,,0.17,",,6,",0,",,6,",,,69,",,6",41,",,6",42,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/14/1943,,,0.19,",,6,",0.2,",,6,",0,"T,,6,",64,",,6",30,",,6",30,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/15/1943,,,0.04,",,6,",0.2,",,6,",0,"T,,6,",41,",,6",26,",,6",26,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/16/1943,,,0.01,",,6,",0,",,6,",0,",,6,",41,",,6",26,",,6",27,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/17/1943,,,0.02,",,6,",0,",,6,",,,67,",,6",27,",,6",48,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/18/1943,,,0.03,",,6,",0,",,6,",,,62,",,6",44,",,6",45,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/19/1943,,,0.73,",,6,",0,",,6,",,,57,",,6",45,",,6",47,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/20/1943,,,0.26,",,6,",0,",,6,",,,52,",,6",36,",,6",36,",,6,"
